sigma,sign,type,m,src,isValidation,id,graphtype,offset,answer,error,unsignedError,index
0.2,-1,trig,0.2,data/Exp3/trig/scatter/S0.2m-0.2.png,,1,scatter,0.11,0.14,-0.03,0.03,84
0.1,1,line,0.1,data/Exp3/line/area/S0.1m0.1.png,,1,area,0.2,0.13,0.07,0.07,85
0.05,-1,trig,0.4,data/Exp3/trig/line/S0.05m-0.4.png,,1,line,0.04,0.045,0,0,86
0.1,-1,line,0.2,data/Exp3/line/scatter/S0.1m-0.2.png,,1,scatter,0.16,0.13,0.03,0.03,87
0.1,1,line,0.4,data/Exp3/line/scatter/S0.1m0.4.png,,1,scatter,-0.13,-0.15,0.02,0.02,88
0.05,1,quad,0.8,data/Exp3/quad/line/S0.05m0.8.png,,1,line,0.16,0.12,0.04,0.04,89
0.1,1,trig,0.2,data/Exp3/trig/line/S0.1m0.2.png,,1,line,-0.02,-0.035,0.02,0.02,90
0.2,-1,line,0.1,data/Exp3/line/scatter/S0.2m-0.1.png,,1,scatter,-0.17,-0.13,-0.04,0.04,92
0.05,-1,trig,0.8,data/Exp3/trig/scatter/S0.05m-0.8.png,,1,scatter,-0.03,-0.03,0,0,93
0.05,-1,line,0.8,data/Exp3/line/area/S0.05m-0.8.png,,1,area,-0.08,-0.085,0.01,0.01,94
0.15,-1,quad,0.2,data/Exp3/quad/scatter/S0.15m-0.2.png,,1,scatter,0.05,0.025,0.03,0.03,95
0.15,1,quad,0.8,data/Exp3/quad/scatter/S0.15m0.8.png,,1,scatter,0.1,0.085,0.01,0.01,97
0.2,1,quad,0.8,data/Exp3/quad/scatter/S0.2m0.8.png,,1,scatter,-0.22,-0.19,-0.03,0.03,96
0.2,-1,quad,0.1,data/Exp3/quad/area/S0.2m-0.1.png,,1,area,0.22,0.12,0.1,0.1,98
0.2,1,line,0.1,data/Exp3/line/area/S0.2m0.1.png,,1,area,-0.08,-0.195,0.12,0.12,99
0.2,-1,trig,0.1,data/Exp3/trig/line/S0.2m-0.1.png,,2,line,-0.2,-0.19,-0.01,0.01,0
0.15,-1,line,0.8,data/Exp3/line/scatter/S0.15m-0.8.png,,2,scatter,0.08,0.06,0.02,0.02,1
0.2,-1,quad,0.2,data/Exp3/quad/line/S0.2m-0.2.png,,2,line,0.25,0.275,-0.03,0.03,2
0.2,1,quad,0.8,data/Exp3/quad/scatter/S0.2m0.8.png,,2,scatter,-0.02,0,-0.02,0.02,3
0.15,1,line,0.1,data/Exp3/line/area/S0.15m0.1.png,,2,area,0.02,-0.005,0.03,0.03,4
0.05,1,quad,0.2,data/Exp3/quad/line/S0.05m0.2.png,,2,line,0.05,0.055,0,0,7
0.1,1,line,0.4,data/Exp3/line/scatter/S0.1m0.4.png,,2,scatter,0.06,0.06,0,0,8
0.15,1,quad,0.2,data/Exp3/quad/area/S0.15m0.2.png,,2,area,-0.13,-0.17,0.04,0.04,6
0.1,1,trig,0.4,data/Exp3/trig/area/S0.1m0.4.png,,2,area,0.13,0.135,-0.01,0.01,9
